city,day,hour,total_tracks,tracks,users
shelbyville,friday,8,832,809,689
shelbyville,friday,9,848,823,730
shelbyville,friday,10,18,18,18
shelbyville,friday,13,1020,987,853
shelbyville,friday,14,1033,990,871
shelbyville,friday,15,16,16,16
shelbyville,friday,20,1002,974,839
shelbyville,friday,21,1000,964,806
shelbyville,friday,22,17,17,17
shelbyville,monday,8,750,717,644
shelbyville,monday,9,800,762,655
shelbyville,monday,10,10,10,10
shelbyville,monday,13,911,886,770
shelbyville,monday,14,1036,985,867
shelbyville,monday,15,21,21,20
shelbyville,monday,20,990,966,827
shelbyville,monday,21,926,897,768
shelbyville,monday,22,18,18,17
shelbyville,wednesday,8,971,929,816
shelbyville,wednesday,9,1013,969,838
shelbyville,wednesday,10,13,13,13
shelbyville,wednesday,13,1189,1148,986
shelbyville,wednesday,14,1272,1220,1074
shelbyville,wednesday,15,11,11,11
shelbyville,wednesday,20,1231,1185,1007
shelbyville,wednesday,21,1148,1106,920
shelbyville,wednesday,22,22,22,22
springfield,friday,8,2676,2429,2197
springfield,friday,9,2675,2469,2217
springfield,friday,10,52,52,52
springfield,friday,13,2436,2290,2090
springfield,friday,14,2606,2442,2206
springfield,friday,15,48,48,45
springfield,friday,20,2699,2502,2203
springfield,friday,21,2451,2276,1990
springfield,friday,22,46,46,40
springfield,monday,8,2576,2360,2166
springfield,monday,9,2475,2291,2124
springfield,monday,10,40,40,39
springfield,monday,13,2520,2372,2075
springfield,monday,14,2569,2392,2137
springfield,monday,15,40,40,38
springfield,monday,20,2708,2521,2189
springfield,monday,21,2367,2208,1896
springfield,monday,22,42,41,40
springfield,wednesday,8,1438,1372,1206
springfield,wednesday,9,1492,1407,1272
springfield,wednesday,10,30,30,29
springfield,wednesday,13,2025,1929,1663
springfield,wednesday,14,2019,1903,1715
springfield,wednesday,15,38,38,38
springfield,wednesday,20,1987,1885,1642
springfield,wednesday,21,1794,1676,1426
springfield,wednesday,22,24,24,24
