city,hour,total_tracks,tracks,users
shelbyville,8,2553,2335,2030
shelbyville,9,2661,2435,2111
shelbyville,10,41,41,41
shelbyville,13,3120,2912,2522
shelbyville,14,3341,3066,2706
shelbyville,15,48,48,47
shelbyville,20,3223,2996,2576
shelbyville,21,3074,2848,2402
shelbyville,22,57,57,56
springfield,8,6690,5718,5264
springfield,9,6642,5779,5384
springfield,10,122,122,120
springfield,13,6981,6181,5640
springfield,14,7194,6308,5853
springfield,15,126,126,119
springfield,20,7394,6466,5848
springfield,21,6612,5760,5177
springfield,22,112,111,104
