day,hour,total_tracks,tracks,users
friday,8,3508,3170,2886
friday,9,3523,3230,2947
friday,10,70,70,70
friday,13,3456,3212,2943
friday,14,3639,3333,3077
friday,15,64,64,61
friday,20,3701,3394,3042
friday,21,3451,3161,2796
friday,22,63,63,57
monday,8,3326,3000,2810
monday,9,3275,2988,2779
monday,10,50,50,49
monday,13,3431,3210,2845
monday,14,3605,3276,3004
monday,15,61,61,58
monday,20,3698,3406,3016
monday,21,3293,3025,2664
monday,22,60,59,57
wednesday,8,2409,2242,2022
wednesday,9,2505,2312,2110
wednesday,10,43,43,42
wednesday,13,3214,2998,2649
wednesday,14,3291,3045,2789
wednesday,15,49,49,49
wednesday,20,3218,2989,2649
wednesday,21,2942,2711,2346
wednesday,22,46,46,46
