city,userid,tracks,artists,genres
shelbyville,100173ED,1,1,1
shelbyville,10089377,3,3,2
shelbyville,10101201,2,2,2
shelbyville,101861D1,2,2,2
shelbyville,10189D10,4,3,2
shelbyville,101B046A,2,2,2
shelbyville,101BBC61,1,1,1
shelbyville,101C12A4,2,2,2
shelbyville,101E910F,1,1,1
shelbyville,1022B77E,1,1,1
shelbyville,10270767,2,2,2
shelbyville,102A0499,5,5,4
shelbyville,102AB16,1,1,1
shelbyville,1034E901,1,1,1
shelbyville,103C5AFE,1,1,1
shelbyville,1049FBE1,7,6,6
shelbyville,104B7BA5,4,4,2
shelbyville,1055361,1,1,1
shelbyville,105E4E0A,1,1,1
shelbyville,10675E30,2,2,1
shelbyville,106BA49,2,2,2
shelbyville,106E2EC3,1,2,1
shelbyville,106ED38C,1,1,1
shelbyville,106EF382,1,1,1
shelbyville,10834145,2,2,2
shelbyville,1086B1D9,1,1,1
shelbyville,108AADB2,1,1,1
shelbyville,108FF7B5,2,2,1
shelbyville,109618F5,2,2,2
shelbyville,1098DA94,1,1,1
shelbyville,109A4BF7,2,2,2
shelbyville,109CF5EA,1,1,1
shelbyville,109E80A1,1,1,1
shelbyville,10A7D657,1,1,1
shelbyville,10A93AD6,2,2,2
shelbyville,10A98CF3,1,1,1
shelbyville,10AB5468,1,1,1
shelbyville,10C739F7,1,1,1
shelbyville,10D01034,1,1,1
shelbyville,10D9681E,1,1,1
shelbyville,10DE931A,1,1,1
shelbyville,10DFEBCD,1,1,1
shelbyville,10DFFDBD,1,1,1
shelbyville,10E95850,1,1,1
shelbyville,10EA19FF,2,2,2
shelbyville,10F454E0,1,1,1
shelbyville,10FAB649,1,1,1
shelbyville,10FB0F76,1,1,1
shelbyville,10FBB274,2,2,2
shelbyville,1100DF8A,1,1,1
shelbyville,11057DEB,1,1,1
shelbyville,111C5DFF,3,3,2
shelbyville,1126C85,1,1,1
shelbyville,1133EFB1,1,1,1
shelbyville,11341BD5,2,2,1
shelbyville,113992BA,1,1,1
shelbyville,113D3253,1,1,1
shelbyville,11416A53,1,1,1
shelbyville,1143AFA4,2,2,2
shelbyville,1144BB8,2,2,2
shelbyville,114958C3,2,2,2
shelbyville,114ADB,3,3,2
shelbyville,114DD0CC,1,1,1
shelbyville,114EF755,1,1,1
shelbyville,115167C2,1,1,1
shelbyville,115B8EDE,1,1,1
shelbyville,115EFF58,1,1,1
shelbyville,115FD7DB,1,1,1
shelbyville,115FDC0E,1,1,1
shelbyville,11656BF,1,1,1
shelbyville,116815B5,1,1,1
shelbyville,1168EFC4,1,1,1
shelbyville,116D0A60,1,1,1
shelbyville,117E7BFE,1,1,1
shelbyville,118023A3,1,1,1
shelbyville,1184ADB7,2,2,2
shelbyville,11878B48,1,1,1
shelbyville,1189FBD9,1,1,1
shelbyville,118D04A7,1,1,1
shelbyville,1197E169,1,1,1
shelbyville,11A4A4C2,1,1,1
shelbyville,11A7375E,1,1,1
shelbyville,11AABD6F,1,1,1
shelbyville,11B2FB9,1,1,1
shelbyville,11B43A91,1,1,1
shelbyville,11B76792,1,1,1
shelbyville,11C27783,1,1,1
shelbyville,11C36FF1,1,1,1
shelbyville,11C475C1,1,1,1
shelbyville,11C8117C,1,1,1
shelbyville,11D078A5,1,1,1
