city,userid,day,hour,tracks,artists,genres
shelbyville,100173ED,wednesday,20,1,1,1
shelbyville,10089377,monday,20,1,1,1
shelbyville,10089377,wednesday,21,2,2,2
shelbyville,10101201,wednesday,14,2,2,2
shelbyville,101861D1,monday,20,2,2,2
shelbyville,10189D10,monday,14,2,2,1
shelbyville,10189D10,wednesday,9,2,2,2
shelbyville,101B046A,monday,8,2,2,2
shelbyville,101BBC61,wednesday,14,1,1,1
shelbyville,101C12A4,monday,13,2,2,2
shelbyville,101E910F,friday,14,1,1,1
shelbyville,1022B77E,friday,20,1,1,1
shelbyville,10270767,friday,14,1,1,1
shelbyville,10270767,wednesday,21,1,1,1
shelbyville,102A0499,wednesday,21,4,4,4
shelbyville,102A0499,wednesday,22,1,1,1
shelbyville,102AB16,monday,9,1,1,1
shelbyville,1034E901,friday,8,1,1,1
shelbyville,1034E901,friday,21,1,1,1
shelbyville,103C5AFE,monday,13,1,1,1
shelbyville,1049FBE1,friday,14,2,2,1
shelbyville,1049FBE1,monday,13,4,4,4
shelbyville,1049FBE1,monday,14,1,1,1
shelbyville,1049FBE1,wednesday,13,1,1,1
shelbyville,104B7BA5,friday,20,1,1,1
shelbyville,104B7BA5,wednesday,21,3,3,2
shelbyville,1055361,wednesday,14,1,1,1
shelbyville,105E4E0A,wednesday,9,1,1,1
shelbyville,10675E30,friday,9,2,2,1
shelbyville,106BA49,friday,20,1,1,1
shelbyville,106BA49,wednesday,9,1,1,1
shelbyville,106E2EC3,monday,13,1,2,1
shelbyville,106ED38C,friday,13,1,1,1
shelbyville,106EF382,friday,20,1,1,1
shelbyville,10834145,monday,21,2,2,2
shelbyville,1086B1D9,wednesday,21,1,1,1
shelbyville,108AADB2,monday,21,1,1,1
shelbyville,108FF7B5,monday,9,2,2,1
shelbyville,109618F5,wednesday,20,2,2,2
shelbyville,1098DA94,wednesday,14,1,1,1
shelbyville,109A4BF7,friday,20,2,2,2
shelbyville,109CF5EA,monday,15,1,1,1
shelbyville,109E80A1,monday,8,1,1,1
shelbyville,10A7D657,wednesday,20,1,1,1
shelbyville,10A93AD6,monday,8,1,1,1
shelbyville,10A93AD6,wednesday,8,1,1,1
shelbyville,10A98CF3,friday,8,1,1,1
shelbyville,10AB5468,monday,13,1,1,1
shelbyville,10C739F7,monday,14,1,1,1
shelbyville,10D01034,friday,13,1,1,1
shelbyville,10D9681E,friday,9,1,1,1
shelbyville,10DE931A,monday,20,1,1,1
shelbyville,10DFEBCD,wednesday,13,1,1,1
shelbyville,10DFFDBD,wednesday,9,1,1,1
shelbyville,10E95850,monday,14,1,1,1
shelbyville,10EA19FF,monday,13,1,1,1
shelbyville,10EA19FF,wednesday,20,1,1,1
shelbyville,10F454E0,friday,13,1,1,1
shelbyville,10FAB649,monday,9,1,1,1
shelbyville,10FB0F76,monday,21,1,1,1
shelbyville,10FBB274,friday,13,1,1,1
shelbyville,10FBB274,wednesday,13,1,1,1
shelbyville,1100DF8A,friday,21,1,1,1
